I1;I2;I1MAX;I1MIN;I1VAR;I2MAX;I2MIN;I2VAR;I3;I4;I3max;I3min;I3var;I4MAX;I4MIN;I5;I6;Itotal1;Itotalmax1;Itotalmin1;Vdcmean1;Vdcmax1;Vdcmin1;Pdcmean1;IR;T;range 1;range 2;range 3;range 4;class
0.63376999;0.63376999;0.83523131;0.593982137;2.40711E-06;0.83523131;0.593982137;2.40711E-06;0.837258913;0.837258913;0.838180269;0.836620382;7.69808E-08;0.838180269;0.836620382;0.837258913;0.837258913;426.6793033;456.6115455;393.4941856;478.5024851;478.7741202;478.2295227;35.16250416;147;33;0.241249173;0.241249173;4.55191E-15;1.33227E-15;1
2.453363562;2.453363562;2.781377659;2.430878966;0.000324818;2.781377659;2.430878966;0.000324818;2.741403606;2.741403606;2.784457933;2.722999042;0.00036118;2.784457933;2.722999042;2.741403606;2.741403606;426.5186491;457.1973153;394.6202678;516.8098988;521.0987248;504.4295698;124.6361063;480;16;0.350498693;0.350498693;1.5099E-14;6.21725E-15;1
2.567832214;2.567832214;2.707494071;2.545832061;2.21365E-06;2.707494071;2.545832061;2.21365E-06;2.711372247;2.711372247;2.714793739;2.708259778;1.24862E-06;2.714793739;2.708259778;2.711372247;2.711372247;426.5791892;456.458196;393.2775776;493.5401593;493.7878194;493.3829244;117.6898991;476;34;0.16166201;0.16166201;1.06581E-14;6.21725E-15;1
3.934643746;3.934643746;4.209535252;3.922546525;0.000278848;4.209535252;3.922546525;0.000278848;4.161218913;4.161218913;4.214213597;4.148595201;0.000301599;4.214213597;4.148595201;4.161218913;4.161218913;426.5880512;457.2402623;394.6549389;520.354528;522.1578749;511.8737902;190.5508906;731;17;0.286988727;0.286988727;2.57572E-14;1.77636E-14;1
3.919542786;3.919542786;4.147213707;3.894783933;8.13461E-06;4.147213707;3.894783933;8.13461E-06;4.140120645;4.140120645;4.152607906;4.133898437;5.77638E-06;4.152607906;4.133898437;4.140120645;4.140120645;426.9477642;457.3887511;394.5936279;511.5017836;511.947146;509.5131876;186.2754845;728;24;0.252429774;0.252429774;2.35367E-14;1.33227E-14;1
1.07183661;1.07183661;1.248089853;1.060261685;8.98476E-05;1.248089853;1.060261685;8.98476E-05;1.229976375;1.229976375;1.250839044;1.220346438;9.65589E-05;1.250839044;1.220346438;1.229976375;1.229976375;426.3479086;457.0703512;394.5171964;509.0158109;514.3684097;495.6922828;55.06881167;215;14;0.187828168;0.187828168;6.21725E-15;5.32907E-15;1
0.446091988;0.446091988;0.744577097;0.395185872;3.45467E-05;0.744577097;0.395185872;3.45467E-05;0.736818639;0.736818639;0.747190261;0.73236295;1.91485E-05;0.747190261;0.73236295;0.736818639;0.736818639;426.3478887;457.070331;394.5171763;502.7975511;506.4651765;492.5634984;32.48575377;129;14;0.349391224;0.349391224;3.60822E-15;4.21885E-15;1
3.182461931;3.182461931;3.998872306;3.001852795;4.12914E-05;3.998872306;3.001852795;4.12914E-05;3.997071299;3.997071299;4.004302363;3.992533889;3.24898E-06;4.004302363;3.992533889;3.997071299;3.997071299;426.7575264;456.8017596;393.6671924;499.525599;499.7611612;499.0671256;175.3190398;702;32;0.997019511;0.997019511;2.88658E-14;0;1
2.783658783;2.783658783;2.970959682;2.771476248;0.000184768;2.970959682;2.771476248;0.000184768;2.935445879;2.935445879;2.97434008;2.922796027;0.000198901;2.97434008;2.922796027;2.935445879;2.935445879;426.7386298;457.3362583;394.6922217;514.7329528;517.0476678;505.4133975;132.979927;515;19;0.199483434;0.199483434;1.28786E-14;7.54952E-15;1
4.716673556;4.716673556;5.010626187;4.696158428;0.000487034;5.010626187;4.696158428;0.000487034;4.951111199;4.951111199;5.015332939;4.929800801;0.000525254;5.015332939;4.929800801;4.951111199;4.951111199;452.3200438;457.0703349;450.8325607;524.8873637;527.2234321;515.8945406;228.7206302;870;14;0.314467759;0.314467759;3.37508E-14;2.13163E-14;1
1.175958193;1.175958193;1.571800656;1.112038753;7.84092E-05;1.571800656;1.112038753;7.84092E-05;1.552442777;1.552442777;1.574564141;1.545906072;6.53741E-05;1.574564141;1.545906072;1.552442777;1.552442777;426.7386049;457.336233;394.6921969;506.9677194;509.6848911;496.5422361;69.12727388;272;19;0.459761904;0.459761904;7.77156E-15;4.66294E-15;1
0.917587945;0.917587945;1.193300327;0.870328869;1.75428E-05;1.193300327;0.870328869;1.75428E-05;1.185171651;1.185171651;1.196024139;1.182503571;1.32618E-05;1.196024139;1.182503571;1.185171651;1.185171651;426.8767311;457.3892185;394.661228;500.0461686;501.253031;494.0944752;52.04934458;208;22;0.322971458;0.322971458;5.88418E-15;5.10703E-15;1
2.277642793;2.277642793;2.588769023;2.257969189;0.000344783;2.588769023;2.257969189;0.000344783;2.549394602;2.549394602;2.591687646;2.53032298;0.000383117;2.591687646;2.53032298;2.549394602;2.549394602;426.4354459;457.1222651;394.5751724;516.8332655;521.9558918;503.0969145;115.9175765;446;15;0.330799835;0.330799835;5.77316E-15;3.55271E-15;1
1.806700458;1.806700458;2.093935605;1.781913689;0.00022245;2.093935605;1.781913689;0.00022245;2.063856432;2.063856432;2.096764905;2.049384677;0.000242376;2.096764905;2.049384677;2.063856432;2.063856432;426.5186522;457.1973185;394.620271;513.2668472;518.0569073;500.4519504;93.17395393;361;16;0.312021915;0.312021915;3.55271E-15;9.32587E-15;1
4.641240303;4.641240303;4.841095272;4.624905356;0.000336986;4.841095272;4.624905356;0.000336986;4.789959144;4.789959144;4.845696266;4.773331274;0.000349226;4.845696266;4.773331274;4.789959144;4.789959144;440.9578726;457.1973353;436.6084122;522.4207006;524.2068288;514.2262071;220.2684645;842;16;0.216189916;0.216189916;2.4869E-14;2.13163E-14;1
2.069805612;2.069805612;2.331751464;2.026156027;5.53728E-06;2.331751464;2.026156027;5.53728E-06;2.328270368;2.328270368;2.335118766;2.325444826;1.98028E-06;2.335118766;2.325444826;2.328270368;2.328270368;426.9689026;457.2664948;394.3166763;500.8385657;501.2158712;498.5106554;102.5094475;409;28;0.305595437;0.305595437;1.28786E-14;1.06581E-14;1
5.046480973;5.046480973;5.281821826;5.02215604;0.000772336;5.281821826;5.02215604;0.000772336;5.215414565;5.215414565;5.287010719;5.190511966;0.000811857;5.287010719;5.190511966;5.215414565;5.215414565;475.6169511;476.2996754;474.4162957;527.175131;530.0413506;516.8558441;242.0349039;916;12;0.259665785;0.259665785;3.01981E-14;9.76996E-15;1
1.649499528;1.649499528;1.900673732;1.601324128;4.11062E-06;1.900673732;1.601324128;4.11062E-06;1.902285483;1.902285483;1.904689084;1.900327115;6.86182E-07;1.904689084;1.900327115;1.902285483;1.902285483;426.8418916;456.9340637;393.9212472;493.867189;494.1787964;492.7320814;82.561205;334;31;0.299349604;0.299349604;9.99201E-15;5.77316E-15;1
2.237636956;2.237636956;2.813022614;2.155367832;0.000763026;2.813022614;2.155367832;0.000763026;2.769869349;2.769869349;2.81597026;2.739269413;0.000705594;2.81597026;2.739269413;2.769869349;2.769869349;425.9708781;456.7259985;394.2826678;521.4350348;529.9219478;505.2736829;126.9555795;483;10;0.657654782;0.657654782;1.55431E-14;0;1
1.10606378;1.10606378;1.516250033;1.043966468;0.000182123;1.516250033;1.043966468;0.000182123;1.493978376;1.493978376;1.518957029;1.481847017;0.0001453;1.518957029;1.481847017;1.493978376;1.493978376;426.3478824;457.0703245;394.51717;511.2250256;516.9067275;496.9375086;67.08273313;261;14;0.472283565;0.472283565;9.99201E-15;9.54792E-15;1
3.310136719;3.310136719;3.704823372;3.284412734;0.000624875;3.704823372;3.284412734;0.000624875;3.648587674;3.648587674;3.708213146;3.621015521;0.00070719;3.708213146;3.621015521;3.648587674;3.648587674;426.165562;456.9037264;394.3961809;524.2714388;529.251081;510.6967152;168.3091548;639;12;0.420410638;0.420410638;1.9984E-14;1.06581E-14;1
3.926185776;3.926185776;4.149627024;3.890061928;7.0287E-06;4.149627024;3.890061928;7.0287E-06;4.153714957;4.153714957;4.160061756;4.148224263;4.68033E-06;4.160061756;4.148224263;4.153714957;4.153714957;426.968905;457.2664972;394.3166786;505.6990708;505.955319;505.3257343;184.7342353;730;28;0.259565096;0.259565096;2.13163E-14;2.04281E-14;1
0.400521561;0.400521561;0.935479362;0.31202468;0.000199217;0.935479362;0.31202468;0.000199217;0.923159436;0.923159436;0.938162415;0.913559926;6.58102E-05;0.938162415;0.913559926;0.923159436;0.923159436;425.9708784;456.7259989;394.2826681;508.7672368;516.2377709;494.6664263;41.11585661;161;10;0.623454683;0.623454683;4.94049E-15;2.22045E-15;1
3.54250492;3.54250492;3.933168558;3.485236281;2.66103E-05;3.933168558;3.485236281;2.66103E-05;3.918749103;3.918749103;3.937738828;3.911788524;2.06768E-05;3.937738828;3.911788524;3.918749103;3.918749103;426.9053729;457.4292831;394.6168777;512.5581259;513.1494837;509.084659;176.6147645;689;23;0.447932277;0.447932277;2.44249E-14;5.77316E-15;1
4.107857307;4.107857307;4.248654208;4.089784332;3.78254E-06;4.248654208;4.089784332;3.78254E-06;4.251913187;4.251913187;4.255864188;4.246759835;2.82146E-06;4.255864188;4.246759835;4.251913187;4.251913187;426.8419074;456.9340797;393.9212623;501.3881809;501.5676637;501.2590972;187.5335136;747;31;0.158869876;0.158869876;1.33227E-14;1.24345E-14;1
0.671304247;0.671304247;2.252714303;0.31192825;0.000261277;2.252714303;0.31192825;0.000261277;2.234320968;2.234320968;2.255852398;2.229251546;4.2072E-05;2.255852398;2.229251546;2.234320968;2.234320968;426.9053592;457.4292693;394.6168643;506.6988759;507.9480487;500.2172896;98.91876312;392;23;1.940786053;1.940786053;1.28786E-14;1.02141E-14;1
4.200558559;4.200558559;4.549988984;4.135329407;1.02492E-05;4.549988984;4.135329407;1.02492E-05;4.55537269;4.55537269;4.562572028;4.549952986;4.07725E-06;4.562572028;4.549952986;4.55537269;4.55537269;430.5921872;457.3957887;415.5035541;510.4713138;510.7182733;510.0210532;204.4576973;801;25;0.414659577;0.414659577;3.37508E-14;1.95399E-14;1
0.849418212;0.849418212;1.979099459;0.646258091;0.000924173;1.979099459;0.646258091;0.000924173;1.949667605;1.949667605;1.981868195;1.930136037;0.000311063;1.981868195;1.930136037;1.949667605;1.949667605;426.1655474;456.9037114;394.396166;515.6365258;523.1777678;499.9964569;88.00891821;340;12;1.332841369;1.332841369;9.21485E-15;6.88338E-15;1
2.531874246;2.531874246;2.869310427;2.506554637;0.000275803;2.869310427;2.506554637;0.000275803;2.830397909;2.830397909;2.872476369;2.815869286;0.000306162;2.872476369;2.815869286;2.830397909;2.830397909;426.5880448;457.2402559;394.6549326;516.3387742;519.7034623;504.9812977;128.5602525;496;17;0.362755789;0.362755789;1.55431E-14;4.88498E-15;1
